candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Ensemble_Min_MPa,YS_Ensemble_Max_MPa,YS_Ensemble_Difference_MPa,YS_Normalized,UTS_Normalized,Elongation_Normalized,Hardness_Normalized,Uncertainty_Normalized,Uncertainty_Confidence,Performance_Score,Uncertainty_Aware_Score,Uncertainty_Risk,Uncertainty_Aware_Rank,High_Performance_Low_Uncertainty
CAND_00447,Al17.29Mo42.21Ti7.16V33.34,4,17.29,0.0,0.0,0.0,0.0,0.0,42.21,0.0,0.0,7.16,33.34,0.0,100.0,True,1023.31836,957.8432,45.310066,352.473,0.9360168233324871,False,0.55541617,0.3041758751993748,0.4667384572849786,0.3196263044094736,0.4225061815178886,False,3292,1581.0852,182.05055,1305.8726,1890.2153,557.766845078125,0.555416137772413,0.30417587519937483,0.4667384572849786,0.3196263044094736,1.0,0.0,0.4180722798498303,0.3344578238798643,Low,3371,False
CAND_00219,Cr9.61Mo37.14Nb25.33V20.58W7.34,5,0.0,0.0,9.61,0.0,0.0,0.0,37.14,25.33,0.0,0.0,20.58,7.34,100.0,True,1174.9978,1102.4391,34.859314,322.471,0.9382477970890488,False,0.6819125,0.4177303466131776,0.2798199544520434,0.2553346052717106,0.4381480338836314,False,2906,1581.0852,182.05055,1305.8726,1890.2153,406.0874050781249,0.6819124566016908,0.4177303466131776,0.27981995445204344,0.25533460527171065,1.0,0.0,0.4180433952607456,0.3344347162085965,Low,3372,False
CAND_04993,Cr16.01Mn8.12Mo20.37Ti18.80W36.70,5,0.0,0.0,16.01,0.0,0.0,8.12,20.37,0.0,0.0,18.8,0.0,36.7,100.0,True,978.6485,1273.5914,35.49923,313.647,1.3013777693485609,True,0.5181628,0.5521401670697507,0.2912652686896065,0.2364255341034011,0.4293710364772498,False,3137,1581.0852,182.05055,1305.8726,1890.2153,602.436705078125,0.5181627509414807,0.5521401670697507,0.2912652686896065,0.23642553410340117,1.0,0.0,0.4180261485786875,0.33442091886295,Low,3373,False
CAND_04352,Al18.64Fe18.90Mn23.29Ti17.55V11.34W10.28,6,18.64,0.0,0.0,0.0,18.9,23.29,0.0,0.0,0.0,17.55,11.34,10.28,100.0,True,1044.8789,1079.1038,44.968796,255.16100000000003,1.0327548901076309,True,0.57339704,0.3994046011613182,0.4606346211723432,0.1110950789413719,0.4236634215137539,False,3272,1581.0852,182.05055,1305.8726,1890.2153,536.2063050781251,0.5733970120555155,0.39940460116131826,0.4606346211723432,0.11109507894137195,1.0,0.0,0.4180252815551831,0.3344202252441465,Low,3374,False
CAND_03347,Co25.58Cu16.45Mo9.21Ti25.36V12.52W10.88,6,0.0,25.58,0.0,16.45,0.0,0.0,9.21,0.0,0.0,25.36,12.52,10.88,100.0,True,860.01556,945.0429,54.04089,321.76120000000003,1.098867206127251,True,0.4192263,0.2941235064915615,0.6228949281856235,0.2538135650727912,0.4078007053934344,False,3657,1581.0852,182.05055,1305.8726,1890.2153,721.069645078125,0.41922626883227365,0.29412350649156155,0.6228949281856235,0.2538135650727912,1.0,0.0,0.4179841323721426,0.3343873058977141,Low,3375,False
CAND_00644,Al6.25Cr5.57Fe27.24Mn25.08Ti8.75V27.11,6,6.25,0.0,5.57,0.0,27.24,25.08,0.0,0.0,0.0,8.75,27.11,0.0,100.0,True,1027.816,945.96246,52.706223,234.52100000000007,0.920361643669278,False,0.5591671,0.2948456580168349,0.5990235400385768,0.0668653385839483,0.415989518266412,False,3447,1581.0852,182.05055,1305.8726,1890.2153,553.269205078125,0.5591670410155903,0.2948456580168349,0.5990235400385768,0.0668653385839483,1.0,0.0,0.41798232045811334,0.3343858563664907,Low,3376,False
CAND_03338,Mn14.74Nb40.11Ni15.71W29.44,4,0.0,0.0,0.0,0.0,0.0,14.74,0.0,40.11,15.71,0.0,0.0,29.44,100.0,True,775.4662,1346.4028,41.581665,290.336,1.7362495275728012,True,0.34871453,0.6093206268192938,0.4000535782560993,0.1864720710475918,0.4153947553875801,False,3467,1581.0852,182.05055,1305.8726,1890.2153,805.619005078125,0.348714518529323,0.6093206268192938,0.40005357825609933,0.18647207104759186,1.0,0.0,0.41796170181208747,0.33436936144967,Low,3377,False
CAND_04840,Co21.20Fe32.44Mo25.44V20.92,4,0.0,21.2,0.0,0.0,32.44,0.0,25.44,0.0,0.0,0.0,20.92,0.0,100.0,True,1008.1068,1100.4585,44.73578,266.75800000000004,1.0916090313257598,True,0.54273015,0.4161749360788389,0.4564669783217503,0.1359464500133217,0.4221802506091057,False,3307,1581.0852,182.05055,1305.8726,1890.2153,572.978405078125,0.5427301313917811,0.4161749360788389,0.45646697832175037,0.13594645001332173,1.0,0.0,0.4178670746701203,0.33429365973609626,Low,3378,False
CAND_00806,Co16.28Cr15.46Mo34.47Ni33.79,4,0.0,16.28,15.46,0.0,0.0,0.0,34.47,0.0,33.79,0.0,0.0,0.0,100.0,True,766.59924,1249.5831,46.700287,281.23940000000005,1.6300343512504258,True,0.34131974,0.5332858993066675,0.4916034648870063,0.1669788415836704,0.4103293916474548,False,3596,1581.0852,182.05055,1305.8726,1890.2153,814.485965078125,0.341319727256317,0.5332858993066675,0.4916034648870063,0.1669788415836704,1.0,0.0,0.41784356730973193,0.33427485384778555,Low,3379,False
CAND_02751,Co17.59Cr16.37Nb20.45Ti25.23V20.36,5,0.0,17.59,16.37,0.0,0.0,0.0,0.0,20.45,0.0,25.23,20.36,0.0,100.0,True,955.4393,1185.4629,39.91127,318.908,1.2407517015453704,True,0.49880698,0.4829308379394549,0.3701774762741922,0.2476994034842348,0.4242206259427692,False,3258,1581.0852,182.05055,1305.8726,1890.2153,625.645905078125,0.4988069413276499,0.48293083793945496,0.3701774762741922,0.24769940348423486,1.0,0.0,0.4177891401186419,0.3342313120949135,Low,3380,False
CAND_04369,Cu43.84Mo6.74Ni22.36Ti10.34V16.72,5,0.0,0.0,0.0,43.84,0.0,0.0,6.74,0.0,22.36,10.34,16.72,0.0,100.0,True,1131.078,1047.6842,41.94323,271.7004,0.9262705112170132,False,0.6452846,0.3747300697947087,0.4065204036555337,0.1465375870648008,0.4296151408238433,False,3130,1581.0852,182.05055,1305.8726,1890.2153,450.007205078125,0.6452845983783341,0.37473006979470874,0.40652040365553377,0.14653758706480088,1.0,0.0,0.41767692968937636,0.3341415437515011,Low,3381,False
