Rank,Feature,Mean_Absolute_SHAP
187,"categorical__Precipitate_Info_L12 (classification = 1) – (This phase is the g0 phase, identified as Ni3(Ti,Al) with a superlattice L12 structure and a coherent interface with the fcc matrix.)",0.0
188,categorical__Precipitate_Info_L12 (code 1),0.0
189,"categorical__Precipitate_Info_L12 (Ni₃(Ti,Al), g0 phase) (Code 1)",0.0
190,"categorical__Precipitate_Info_L12 (Ni3(Ti,Al))",0.0
191,categorical__Precipitate_Info_L12 (ordered “γ′”) [Precipitate Code: L12 = 1],0.0
192,categorical__Precipitate_Info_L12 (γ′) [Code 1],0.0
193,categorical__Precipitate_Info_L12 phase,0.0
194,categorical__Precipitate_Info_L12 phase (classification = 1),0.0
195,categorical__Precipitate_Info_L12 phase [classified as “1”],0.0
196,categorical__Precipitate_Info_L12 phase → Code 1,0.0
197,categorical__Precipitate_Info_L12 (ordered intermetallic) [Code 1],0.0
198,categorical__Precipitate_Info_L12 (Ordered Ni3Al–type; classified as 1),0.0
199,categorical__Precipitate_Info_L12-type Ni3Ti nanoparticles,0.0
200,categorical__Precipitate_Info_L12 γ′ precipitate [Classification: 1],0.0
201,"categorical__Precipitate_Info_L12‐type γ′ precipitate (ordered‐FCC, Classification: 1)",0.0
202,categorical__Precipitate_Info_L1₂ (ordered cubic) → Code 1,0.0
203,categorical__Precipitate_Info_Ordered L12 phase [Classification: L12 = 1],0.0
204,categorical__Precipitate_Info_Ordered δ′ phase with an L12 superlattice (classification code: 1),0.0
205,"categorical__Precipitate_Info_Nano γ′ particles with Ni₃(Al,Ti) crystal structure (L1₂ ordering, classification 1) with spherical particles",0.0
206,categorical__Precipitate_Info_Ni3Ti intermetallic,0.0
207,"categorical__Precipitate_Info_g₀ precipitates (ordered phase) with L1₂ structure, Classified as: 1",0.0
208,categorical__Precipitate_Info_g' precipitate,0.0
209,categorical__Precipitate_Info_γ′ phase with L12 ordering → Code 1,0.0
210,categorical__Precipitate_Info_γ0 (L12),0.0
211,categorical__Precipitate_Info_γ′ phase with spherical particles,0.0
212,categorical__Precipitate_Info_γ″,0.0
213,"categorical__Precipitate_Info_η Phase (Ni3Ti‐type, hexagonally ordered, coded: 4)",0.0
214,categorical__Precipitate_Info_μ phase (identified by its hexagonal close-packed structure; classified here as 9),0.0
